price,bedrooms,bathrooms,floors,waterfront,view,zipcode
221900.0,3,1.0,1.0,0,0,98178
538000.0,3,2.25,2.0,0,0,98125
180000.0,2,1.0,1.0,0,0,98028
604000.0,4,3.0,1.0,0,0,98136
510000.0,3,2.0,1.0,0,0,98074
1225000.0,4,4.5,1.0,0,0,98053
257500.0,3,2.25,2.0,0,0,98003
291850.0,3,1.5,1.0,0,0,98198
229500.0,3,1.0,1.0,0,0,98146
323000.0,3,2.5,2.0,0,0,98038
662500.0,3,2.5,1.0,0,0,98007
468000.0,2,1.0,1.0,0,0,98115
310000.0,3,1.0,1.5,0,0,98028
400000.0,3,1.75,1.0,0,0,98074
530000.0,5,2.0,1.5,0,0,98107
650000.0,4,3.0,2.0,0,3,98126
395000.0,3,2.0,2.0,0,0,98019
485000.0,4,1.0,1.5,0,0,98103
189000.0,2,1.0,1.0,0,0,98002
230000.0,3,1.0,1.0,0,0,98003
385000.0,4,1.75,1.0,0,0,98133
2000000.0,3,2.75,1.0,0,4,98040
285000.0,5,2.5,2.0,0,0,98092
252700.0,2,1.5,1.0,0,0,98030
329000.0,3,2.25,2.0,0,0,98030
233000.0,3,2.0,1.5,0,0,98002
937000.0,3,1.75,2.0,0,0,98119
667000.0,3,1.0,1.5,0,0,98112
438000.0,3,1.75,1.0,0,0,98115
719000.0,4,2.5,2.0,0,0,98052
580500.0,3,2.5,2.0,0,0,98027
280000.0,2,1.5,3.0,0,0,98133
687500.0,4,1.75,1.5,0,0,98117
535000.0,3,1.0,1.5,0,0,98117
322500.0,4,2.75,1.0,0,0,98058
696000.0,3,2.5,1.5,0,0,98115
550000.0,4,1.0,1.0,0,0,98052
640000.0,4,2.0,2.0,0,0,98107
240000.0,4,1.0,1.0,0,0,98001
605000.0,4,2.5,2.0,0,0,98056
625000.0,4,2.5,2.0,0,0,98074
775000.0,4,2.25,1.0,0,0,98166
861990.0,5,2.75,2.0,0,0,98053
685000.0,3,1.0,2.0,0,0,98119
309000.0,3,1.0,1.0,0,0,98058
488000.0,3,2.5,2.0,0,0,98019
210490.0,3,1.0,1.0,0,0,98023
785000.0,4,2.5,2.0,0,0,98007
450000.0,3,1.75,1.0,0,0,98115
1350000.0,3,2.5,1.0,1,2,98070
228000.0,3,1.0,1.0,0,0,98148
345000.0,5,2.5,1.0,0,0,98056
600000.0,3,1.75,1.0,0,0,98117
585000.0,2,1.75,1.0,0,0,98117
920000.0,5,2.25,1.5,0,0,98105
885000.0,4,2.5,2.0,0,0,98105
292500.0,4,2.5,2.0,0,0,98042
301000.0,3,2.5,2.0,0,0,98042
951000.0,5,3.25,2.0,0,4,98008
430000.0,4,3.0,2.0,0,0,98059
650000.0,3,2.25,1.0,0,3,98166
289000.0,3,1.75,1.0,0,0,98148
505000.0,3,1.75,2.0,0,0,98166
549000.0,3,1.75,3.0,0,0,98115
425000.0,3,2.25,1.0,0,0,98122
317625.0,3,2.75,1.5,0,0,98144
975000.0,4,2.5,2.0,0,0,98004
287000.0,4,2.5,2.0,0,0,98001
204000.0,3,1.0,1.0,0,0,98042
1325000.0,5,2.25,1.0,0,0,98004
1040000.0,5,3.25,1.0,0,0,98005
325000.0,3,2.0,1.0,0,0,98034
571000.0,4,2.0,1.5,0,0,98125
360000.0,4,2.5,2.0,0,0,98038
349000.0,3,1.75,1.0,0,0,98042
832500.0,4,4.0,2.0,0,0,98075
380000.0,4,1.75,1.0,0,0,98008
480000.0,3,1.0,1.0,0,0,98116
410000.0,3,1.0,1.0,0,0,98133
720000.0,4,2.5,2.0,0,0,98010
390000.0,3,2.5,2.0,0,0,98038
360000.0,4,2.5,2.0,0,0,98038
355000.0,2,1.0,1.0,0,0,98118
356000.0,3,1.5,1.0,0,0,98059
315000.0,3,1.0,1.0,0,0,98125
940000.0,3,1.5,2.0,0,0,98119
305000.0,5,2.25,1.5,0,0,98092
461000.0,3,3.25,2.0,0,0,98056
215000.0,2,2.25,2.0,0,0,98056
335000.0,2,1.75,2.0,0,0,98136
243500.0,4,2.5,2.0,0,0,98023
1099880.0,5,2.75,2.0,0,0,98199
153000.0,3,1.0,1.0,0,0,98023
430000.0,3,1.5,1.0,0,0,98117
700000.0,3,1.5,1.0,0,0,98117
905000.0,4,2.5,1.0,0,0,98040
247500.0,3,1.75,1.0,0,0,98032
199000.0,4,1.5,1.0,0,0,98023
314000.0,3,1.75,1.0,0,0,98038
437500.0,3,2.5,2.0,0,2,98045
850830.0,3,2.5,1.5,0,0,98102
555000.0,3,2.0,1.5,0,0,98117
699950.0,3,2.25,2.0,0,0,98077
1088000.0,3,2.5,2.0,0,0,98004
290000.0,3,1.0,1.0,0,0,98058
375000.0,3,2.5,1.0,0,0,98058
460000.0,3,1.0,1.5,0,0,98117
188500.0,2,1.75,1.0,0,0,98198
680000.0,4,2.5,2.0,0,0,98077
470000.0,5,1.75,2.0,0,0,98052
